Title,US Gross,,,,
Clash of the Titans,30000000,,,,
Clockwatchers,444354,,,,
Commando,35073978,,,,
The Color of Money,52293000,,,,
Cinderella,85000000,,,,
Congo,81022333,,,,
Conan the Barbarian,38264085,,,,
Conan the Destroyer,26400000,,,,
Class of 1984,6965361,,,,
The Clan of the Cave Bear,1953732,,,,
The Case of the Grinning Cat,7033,,,,
Bacheha-Ye aseman,925402,,,,
Coming Home,32653000,,,,
Nanjing! Nanjing!,0,,,,
Cool Runnings,68856263,,,,
Conquest of the Planet of the Apes,9700000,,,,
Cure,94596,,,,
Crocodile Dundee,174803506,,,,
Dayereh,673780,,,,
Karakter,713413,,,,
Creepshow,20036244,,,,
Creepshow 2,14000000,,,,
The Crying Game,62546695,,,,
Crimson Tide,91387195,,,,
Caravans,1000000,,,,
Crying With Laughter,0,,,,
Fengkuang de Shitou,0,,,,
Casablanca,10462500,,,,
Casino,42438300,,,,
Casper,100328194,,,,
Can't Stop the Music,2000000,,,,
Catch-22,24911670,,,,
City Hall,20278055,,,,
Cutthroat Island,10017322,,,,
La femme de chambre du Titanic,244465,,,,
Cat People,4000000,,,,
Courage Under Fire,59003384,,,,
C'era una volta il West,5321508,,,,
The Conversation,4420000,,,,
Cavite,70071,,,,
Copycat,32051917,,,,
Dark Angel,4372561,,,,
"Boot, Das",11487676,,,,
Desperado,25532388,,,,
Dumb & Dumber,127175374,,,,
Diamonds Are Forever,43800000,,,,
The Dark Half,9579068,,,,
The Dark Hours,423,,,,
Dante's Peak,67163857,,,,
Daylight,32908290,,,,
Dick Tracy,103738726,,,,
Decoys,84733,,,,
Dawn of the Dead,5100000,,,,
The Addams Family,113502246,,,,
Death Becomes Her,58422650,,,,
Def-Con 4,210904,,,,
Dead Poets' Society,95860116,,,,
The Day the Earth Stood Still,3700000,,,,
Deep Throat,45000000,,,,
The Dead Zone,20766000,,,,
Die Hard 2,117323878,,,,
Die Hard: With a Vengeance,100012499,,,,
Dragonheart,51364680,,,,
Die Hard,81350242,,,,
Diner,12592907,,,,
Dil Jo Bhi Kahey...,129319,,,,
Don Juan DeMarco,22032635,,,,
Tales from the Crypt: Demon Knight,21089146,,,,
Damnation Alley,Unknown,,,,
Dead Man Walking,39387284,,,,
Dances with Wolves,184208842,,,,
Dangerous Liaisons,34700000,,,,
Donovan's Reef,6600000,,,,
Due occhi diabolici,349618,,,,
Double Impact,29090445,,,,
The Doors,34167219,,,,
Day of the Dead,5804262,,,,
Days of Thunder,82670733,,,,
Dracula: Pages from a Virgin's Diary,39659,,,,
Dolphin,14000,,,,
Death Race 2000,Unknown,,,,
Drei,0,,,,
The Dress,16556,,,,
The Deer Hunter,50000000,,,,
Dragonslayer,6000000,,,,
Driving Miss Daisy,106593296,,,,
Dressed to Kill,31899000,,,,
Do the Right Thing,26004026,,,,
Dune,27447471,,,,
Dolphins and Whales Tribes of the Ocean 3D,7714996,,,,
Down & Out with the Dolls,58936,,,,
Dream With The Fishes,542909,,,,
Doctor Zhivago,111721000,,,,
The Evil Dead,2400000,,,,
Evil Dead II,5923044,,,,
Army of Darkness,11502976,,,,
Ed and his Dead Mother,673,,,,
Edward Scissorhands,53976987,,,,
Ed Wood,5828466,,,,
The Egyptian,15000000,,,,
Everyone Says I Love You,9725847,,,,
The Elephant Man,26010864,,,,
Emma,22231658,,,,
Star Wars Ep. V: The Empire Strikes Back,290271960,,,,
Escape from New York,25244700,,,,
Escape from L.A.,25426861,,,,
Escape from the Planet of the Apes,12300000,,,,
Eraser,101295562,,,,
Eraserhead,7000000,,,,
Everything You Always Wanted to Know,18016290,,,,
ET: The Extra-Terrestrial,435110554,,,,
Excessive Force,1152117,,,,
Exorcist II: The Heretic,25011000,,,,
Exotica,5046118,,,,
Force 10 from Navarone,7100000,,,,
A Farewell To Arms,11000000,,,,
Fatal Attraction,156645693,,,,
Family Plot,13200000,,,,
Fabled,31425,,,,
Fetching Cody,0,,,,
The French Connection,41158757,,,,
From Dusk Till Dawn,25728961,,,,
Friday the 13th,39754601,,,,
Friday the 13th Part 3,36690067,,,,
Friday the 13th Part IV: The Final Chapter,32980880,,,,
Friday the 13th Part V: A New Beginning,21930418,,,,
Friday the 13th Part VI: Jason Lives,19472057,,,,
Friday the 13th Part VII: The New Blood,19170001,,,,
Friday the 13th Part VIII: Jason Takes Manhattan,14343976,,,,
Jason Goes to Hell: The Final Friday,15935068,,,,
Per qualche dollaro in pi˘,4300000,,,,
Per un pugno di dollari,3500000,,,,
The Fall of the Roman Empire,4750000,,,,
Friday the 13th Part 2,21722776,,,,
Faithful,2104439,,,,
Fair Game,11497497,,,,
A Few Good Men,141340178,,,,
The Fugitive,183875760,,,,
From Here to Eternity,30500000,,,,
First Morning,87264,,,,
Shooting Fish,302204,,,,
F.I.S.T,20388920,,,,
Flashdance,90463574,,,,
Fled,17192205,,,,
Flash Gordon,27107960,,,,
The Flintstones,130531208,,,,
Flight of the Intruder,14471440,,,,
Flatliners,61308153,,,,
The Flower of Evil,181798,,,,
Funny Ha Ha,77070,,,,
The Funeral,1212799,,,,
Fantasia,83320000,,,,
Fantasia 2000 (IMAX),60507228,,,,
The Fog,21378361,,,,
Forrest Gump,329694499,,,,
Fortress,6730578,,,,
Fiddler on the Roof,80500000,,,,
The Front Page,15000000,,,,
First Blood,47212904,,,,
Friday,27467564,,,,
Freeze Frame,0,,,,
Firefox,45785720,,,,
Fargo,24567751,,,,
First Knight,37361412,,,,
From Russia With Love,24800000,,,,
The Firm,158340892,,,,
Frenzy,12600000,,,,
Footloose,80000000,,,,
Fast Times at Ridgemont High,27092880,,,,
Fighting Tommy Riley,10514,,,,
The First Wives Club,105489203,,,,
Flirting with Disaster,14853474,,,,
For Your Eyes Only,54800000,,,,
Fiza,623791,,,,
Grip: A Criminal's Story,1336,,,,
The Ghost and the Darkness,38564422,,,,
Gallipoli,5732587,,,,
Gabriela,2335352,,,,
"Il buono, il brutto, il cattivo",6100000,,,,
Graduation Day,23894000,,,,
The Godfather: Part II,57300000,,,,
The Godfather: Part III,66520529,,,,
Goodfellas,46743809,,,,
The Godfather,134966411,,,,
God's Army,2637726,,,,
The Great Escape,11744471,,,,
Gory Gory Hallelujah,12604,,,,
Ghost,217631306,,,,
