name,parent,value
Origin,,
53976987,Starter,Comedy
5828466,Starter,Comedy
15000000,,
9725847,Starter,Musical
26010864,,
22231658,Starter,Romantic Comedy
290271960,Starter,Adventure
25244700,Starter,Action
25426861,Starter,Action
12300000,,
101295562,Starter,Action
7000000,,
18016290,Starter,Comedy
435110554,Starter,Drama
1152117,,
25011000,Starter,Horror
5046118,Starter,Drama
7100000,Starter,Action
11000000,,
156645693,Starter,Thriller/Suspense
13200000,,
31425,Starter,Horror
0,Starter,Comedy
41158757,,
25728961,Starter,Horror
39754601,Starter,Horror
36690067,Starter,Horror
32980880,Starter,Horror
21930418,Starter,Horror
19472057,Starter,Horror
19170001,Starter,Horror
14343976,Starter,Horror
15935068,Starter,Horror
4300000,Starter,Western
3500000,Starter,Western
4750000,,
21722776,Starter,Horror
2104439,Starter,Black Comedy
11497497,Starter,Action
141340178,Starter,Drama
183875760,Starter,Thriller/Suspense
30500000,,
87264,Starter,Drama
302204,,
20388920,Starter,Drama
90463574,Starter,Drama
17192205,Starter,Action
27107960,Starter,Action
130531208,Starter,Comedy
14471440,Starter,Action
61308153,Starter,Thriller/Suspense
181798,,
77070,Starter,Comedy
1212799,Starter,Drama
83320000,Starter,Musical
60507228,Starter,Musical
21378361,Starter,Horror
329694499,Starter,Drama
6730578,Starter,Action
80500000,Starter,Musical
15000000,Starter,Comedy
47212904,Starter,Action
27467564,Starter,Comedy
0,Starter,Thriller/Suspense
45785720,Starter,Action
24567751,Starter,Thriller/Suspense
37361412,Starter,Drama
24800000,Starter,Action
158340892,Starter,Thriller/Suspense
12600000,,
80000000,Starter,Musical
27092880,Starter,Comedy
10514,Starter,Drama
105489203,Starter,Comedy
14853474,Starter,Comedy
54800000,Starter,Action
623791,Starter,Drama
1336,Starter,Action
38564422,Starter,Action
5732587,,
2335352,Starter,Drama
6100000,Starter,Western
23894000,Starter,Thriller/Suspense
57300000,,
66520529,Starter,Drama
46743809,Starter,Drama
134966411,,
2637726,Starter,Drama
11744471,,
12604,Starter,Musical
217631306,Starter,Drama
238632124,Starter,Comedy
4880941,Starter,Comedy
106429941,Starter,Action
20404841,Starter,Action
26593580,Starter,Action
51773,Starter,Drama
123922370,Starter,Comedy
52767889,Starter,Drama
5363000,Starter,Drama
7800000,,
0,Starter,Drama
5691854,Starter,Drama
79817937,Starter,Action
28835,Starter,Drama
51100000,Starter,Action
70906973,Starter,Comedy
148168459,Starter,Comedy
1152411,Starter,Comedy
41476097,Starter,Comedy
15473333,Starter,Drama
4068087,Starter,Drama
36000000,,
391942,Starter,Action
72021008,Starter,Comedy
10731997,Starter,Drama
227241,Starter,Drama
198680470,Starter,Drama
2746453,Starter,Comedy
7018525,Starter,Action
19571091,Starter,Adventure
Unknown,,
6000000,Starter,Comedy
3700,Starter,Comedy
6800000,Starter,Western
14564000,Starter,Horror
19487173,Starter,Comedy
13738574,Starter,Action
5900000,Starter,Action
0,,
8000000,,
31672000,Starter,Comedy
33208099,,
25533818,Starter,Horror
14400000,Starter,Horror
17768757,Starter,Horror
11642254,Starter,Horror
15126948,Starter,Horror
47000000,Starter,Horror
173585516,Starter,Comedy
285761243,Starter,Comedy
89134,,
121807,Starter,Drama
5142858,Starter,Drama
10161099,Starter,Action
1183658,,
119654823,Starter,Adventure
19438638,Starter,Comedy
39360491,Starter,Comedy
17985000,,
15700000,Starter,Western
7768371,Starter,Documentary
38623460,Starter,Comedy
2816518,Starter,Comedy
12299668,Starter,Comedy
655538,Starter,Adventure
120709866,Starter,Thriller/Suspense
12000000,,
26570048,Starter,Adventure
1320043,Starter,Drama
7600000,,
10000000,,
17218916,Starter,Action
3484331,,
2301777,Starter,Comedy
23800000,,
34562222,,
16295774,Starter,Action
31063038,,
162605,Starter,Documentary
6600000,,
13075390,Starter,Comedy
306169255,Starter,Adventure
27682712,Starter,Adventure
0,Starter,Documentary
884,Starter,Action
35627222,Starter,Adventure
33598,,
836641,Starter,Drama
13000000,,
2883661,Starter,Drama
8864699,Starter,Comedy
4884663,Starter,Horror
493905,,
Unknown,,
15716828,Starter,Adventure
79161,,
24379978,,
58617334,Starter,Drama
9812870,Starter,Thriller/Suspense
60592389,Starter,Comedy
16067035,Starter,Action
44342956,Starter,Adventure
34687912,Starter,Action
7555256,Starter,Comedy
2461628,Starter,Drama
70405498,Starter,Drama
635305,Starter,Drama
3707583,Starter,Comedy
100458310,Starter,Adventure
22730924,Starter,Thriller/Suspense
7294,,
357067947,Starter,Action
55000,Starter,Drama
260000000,Starter,Horror
102922376,Starter,Horror
15728335,Starter,Horror
3275443,Starter,Drama
